materials,CD,AS,AL,NS,NB,DD
sample129,2.0676,71,41.0,1,0,1.0
sample32,2.3669,115,41.0,6,2,1.0
sample217,2.6679,243,230.0,2,0,10.5
sample318,2.8996,309,100.0,68,53,4.0
sample159,2.2953,98,63.0,1,0,2.05
sample173,2.2629,98,77.0,1,0,2.05
sample416,2.942,339,41.0,98,81,1.0
sample281,2.7793,268,176.0,27,16,7.8
sample225,2.6678,243,228.0,2,0,10.4
sample234,2.6691,243,222.0,2,0,10.1
sample425,2.7355,261,143.0,20,18,0.743902439
sample445,2.3524,132,89.0,4,2,2.178571429
sample335,2.9399,328,65.0,87,70,2.25
sample215,2.6669,243,234.0,2,0,10.7
sample333,2.9357,326,69.0,85,68,2.45
sample334,2.9378,327,67.0,86,69,2.35
sample157,2.2993,98,61.0,1,0,2.05
sample357,2.8152,285,41.0,56,42,1.0
sample2,2.2807,117,41.0,4,1,1.0
sample309,2.8749,299,124.0,58,44,5.2
sample9,2.6408,271,41.0,30,18,1.0
sample451,2.382,137,121.0,1,0,5.05
sample73,2.397,116,41.0,13,8,1.0
sample105,2.4601,225,81.0,20,6,3.05
sample336,2.9421,329,63.0,88,71,2.15
sample109,2.4734,241,81.0,24,10,3.05
sample405,2.5568,199,41.0,22,15,1.0
sample80,2.4334,93,41.0,12,8,1.0
sample145,2.0708,73,41.0,1,0,1.0
sample115,2.4921,265,81.0,30,16,3.05
sample223,2.6674,243,232.0,2,0,10.6
sample273,2.7431,259,201.0,18,7,9.05
sample63,2.3353,183,41.0,26,17,1.0
sample44,2.3868,160,41.0,17,12,1.0
sample23,2.6169,269,41.0,76,59,1.0
sample198,2.7541,261,201.0,20,9,9.05
sample4,2.7135,261,63.0,20,18,4.117647
sample448,2.3183,114,96.0,2,1,1.742857143
sample307,2.8693,297,126.0,56,42,5.3
sample118,2.6454,251,201.0,10,9,0.435714286
sample367,2.7737,259,41.0,42,30,1.0
sample25,2.5377,221,41.0,60,43,1.0
sample319,2.9019,310,98.0,69,54,3.9
sample342,2.9555,336,51.0,95,77,1.55
sample306,2.8665,296,127.0,55,41,5.35
sample235,2.669,243,220.0,2,0,10.0
sample114,2.4891,261,81.0,29,15,3.05
sample418,2.9349,337,41.0,96,79,1.0
sample387,2.2033,84,41.0,3,1,1.0
sample371,2.2372,49,44.0,1,0,1.2
sample78,2.4268,81,41.0,8,6,1.0
sample120,2.6074,195,110.0,2,0,0.294117647
sample300,2.848,289,136.0,48,35,5.8
sample219,2.6687,243,226.0,2,0,10.3
sample398,2.3124,139,41.0,6,5,1.0
sample275,2.7581,262,197.0,21,10,8.85
sample252,2.6716,243,212.0,2,0,9.6
sample222,2.67,243,220.0,2,0,10.0
sample10,2.655,281,41.0,40,27,1.0
sample449,2.3444,127,91.0,4,2,2.033333333
sample134,2.0589,66,41.0,1,0,1.0
sample59,2.2253,135,41.0,10,5,1.0
sample299,2.8448,288,138.0,47,34,5.9
sample344,2.9595,338,47.0,97,79,1.35
sample48,2.662,261,85.0,20,18,0.813333333
sample50,2.6696,271,85.0,30,27,1.016666667
sample414,2.578,258,41.0,47,36,1.0
sample107,2.4666,233,81.0,22,8,3.05
sample389,2.2173,88,41.0,3,1,1.0
sample379,2.2763,56,44.0,2,0,1.2
sample427,2.8013,281,109.0,40,36,1.270833333
sample76,2.4559,143,41.0,22,14,1.0
sample438,2.3648,131,105.0,2,1,1.386363636
