material,CD,AS,NC,DD
sample301,2.1995,41,5,1.0
sample13,2.2378,41,9,1.0
sample256,2.1946,41,5,1.0
sample24,2.2288,47,8,1.35
sample459,2.4182,161,14,7.05
sample368,2.2998,105,8,4.25
sample230,2.198,41,5,1.0
sample407,2.336,121,10,5.05
sample163,1.9438,41,3,1.0
sample98,1.9282,41,2,1.0
sample285,2.196,41,5,1.0
sample173,1.9394,41,3,1.0
sample34,2.4477,161,15,7.05
sample288,2.19,41,5,1.0
sample496,2.4596,185,16,8.25
sample511,2.5611,201,18,9.05
sample204,2.1608,41,4,1.0
sample393,2.3418,121,10,5.05
sample356,2.2483,81,7,2.8
sample85,1.9383,41,2,1.0
sample219,2.1967,41,5,1.0
sample171,1.9995,41,3,1.0
sample389,2.3393,121,10,5.05
sample41,2.2185,71,6,1.366666667
sample411,2.3348,121,10,5.05
sample401,2.3381,121,10,5.05
sample215,2.1436,41,4,1.0
sample535,2.6524,237,20,10.85
sample527,2.5837,201,19,9.05
sample47,2.2526,91,9,2.033333333
sample253,2.2002,41,5,1.0
sample135,1.9673,41,5,1.0
sample492,2.4668,193,16,8.65
sample198,2.1518,41,4,1.0
sample377,2.2719,87,8,3.35
sample326,2.2457,81,6,2.8
sample410,2.3356,121,10,5.05
sample349,2.2508,81,7,2.8
sample152,1.9435,41,3,1.0
sample404,2.3376,121,10,5.05
sample40,2.1842,61,4,2.05
sample176,2.0737,41,3,1.0
sample427,2.3798,159,12,6.95
sample345,2.2525,81,7,2.8
sample478,2.4255,161,14,7.05
sample467,2.4311,161,14,7.05
sample240,2.1901,41,5,1.0
sample438,2.3596,137,12,5.85
sample223,2.2003,41,5,1.0
sample210,2.1839,41,4,1.0
sample72,2.4401,121,17,1.016666667
sample332,2.2432,81,6,2.8
sample141,2.0733,41,3,1.0
sample526,2.5853,201,19,9.05
sample399,2.3392,121,10,5.05
sample102,1.9187,41,2,1.0
sample80,2.3946,113,14,1.173076923
sample83,1.9479,41,2,1.0
sample190,1.9208,41,3,1.0
sample264,2.1902,41,5,1.0
sample537,2.6349,219,20,10.45
sample32,2.4078,161,13,7.05
sample174,2.0932,41,3,1.0
sample515,2.5548,201,18,9.05
sample145,2.033,41,3,1.0
sample490,2.4716,197,16,8.85
sample455,2.4139,161,14,7.05
sample524,2.5892,201,19,9.05
sample509,2.5629,201,18,9.05
sample224,2.1981,41,5,1.0
sample441,2.351,131,12,5.55
sample11,2.2199,41,7,1.0
sample480,2.4241,161,14,7.05
sample445,2.3394,123,12,5.15
sample298,2.1936,41,5,1.0
sample267,2.1964,41,5,1.0
sample121,2.033,41,5,1.0
sample281,2.1922,41,5,1.0
sample201,2.1438,41,4,1.0
sample440,2.3537,133,12,5.65
sample2 ,1.9904,41,2,1.0
sample520,2.5889,201,19,9.05
sample486,2.4398,161,15,7.05
sample270,2.1907,41,5,1.0
sample460,2.4192,161,14,7.05
sample236,2.1988,41,5,1.0
sample334,2.2419,81,6,2.8
sample431,2.3744,151,12,6.55
sample330,2.2437,81,6,2.8
sample185,1.9898,41,3,1.0
sample378,2.2687,85,8,3.25
sample52,2.3144,101,12,1.525
sample63,2.415,157,26,1.803571429
sample29,2.3399,121,10,5.05
sample44,2.2331,71,8,1.366666667
sample23,2.3117,41,19,1.0
sample365,2.3095,111,8,4.55
sample265,2.2002,41,5,1.0
sample4 ,2.1122,41,3,1.0
sample370,2.2944,101,8,4.05
sample151,1.9678,41,3,1.0
sample118,1.9075,41,2,1.0
sample283,2.2004,41,5,1.0
sample390,2.34,121,10,5.05
sample474,2.4276,161,14,7.05
sample200,2.1489,41,4,1.0
sample25,2.2458,81,6,3.05
sample307,2.1992,41,5,1.0
sample329,2.2443,81,6,2.8
sample249,2.196,41,5,1.0
sample132,2.0333,41,5,1.0
sample114,1.9473,41,2,1.0
sample21,2.3009,41,17,1.0
sample430,2.3759,153,12,6.65
sample177,2.0735,41,3,1.0
sample208,2.1755,41,4,1.0
sample78,2.2906,101,14,1.525
sample75,2.2919,101,13,1.525
sample342,2.2391,81,6,2.8
sample529,2.6408,225,20,10.25
sample289,2.2002,41,5,1.0
sample134,1.9906,41,5,1.0
sample473,2.4276,161,14,7.05
sample513,2.557,201,18,9.05
sample45,2.1937,61,6,2.05
sample10,2.2111,41,6,1.0
sample542,2.6252,209,20,9.95
sample385,2.3364,121,10,5.05
sample252,2.1902,41,5,1.0
sample196,2.1564,41,4,1.0
sample172,1.97,41,3,1.0
sample498,2.4544,181,16,8.05
sample107,1.9649,41,2,1.0
sample512,2.5589,201,18,9.05
sample192,2.1639,41,4,1.0
sample217,2.2008,41,5,1.0
sample242,2.1981,41,5,1.0
sample418,2.3525,121,11,5.05
sample295,2.199,41,5,1.0
sample187,1.9678,41,3,1.0
sample202,2.1435,41,4,1.0
sample303,2.1951,41,5,1.0
sample53,2.3074,101,12,1.525
sample350,2.2508,81,7,2.8
sample156,2.0942,41,3,1.0
sample462,2.4209,161,14,7.05
sample92,1.9811,41,2,1.0
sample222,2.1901,41,5,1.0
sample338,2.2399,81,6,2.8
sample344,2.2538,81,7,2.8
sample396,2.3436,121,10,5.05
sample522,2.5835,201,19,9.05
sample336,2.241,81,6,2.8
sample170,2.0283,41,3,1.0
sample184,1.9901,41,3,1.0
sample235,2.2005,41,5,1.0
sample147,2.0114,41,3,1.0
sample353,2.2493,81,7,2.8
sample308,2.1973,41,5,1.0
sample199,2.148,41,4,1.0
sample523,2.5853,201,19,9.05
sample541,2.6269,211,20,10.05
sample125,1.9909,41,5,1.0
sample366,2.3063,109,8,4.45
sample347,2.2516,81,7,2.8
sample477,2.4255,161,14,7.05
sample443,2.345,127,12,5.35
sample178,2.0533,41,3,1.0
sample323,2.1908,41,5,1.0
sample275,2.1917,41,5,1.0
sample113,1.9572,41,2,1.0
sample140,2.0737,41,3,1.0
sample168,2.0738,41,3,1.0
sample318,2.189,41,5,1.0
sample340,2.2396,81,6,2.8
sample136,1.945,41,5,1.0
sample395,2.3433,121,10,5.05
sample67,2.591,173,25,0.49137931
sample429,2.3772,155,12,6.75
sample383,2.335,121,10,5.05
sample296,2.1969,41,5,1.0
sample409,2.3355,121,10,5.05
sample314,2.1971,41,5,1.0
sample355,2.2481,81,7,2.8
sample497,2.4572,183,16,8.15
sample61,2.6512,241,22,0.338888889
sample360,2.2464,81,7,2.8
sample133,2.0124,41,5,1.0
sample379,2.2657,83,8,3.15
sample531,2.6447,229,20,10.45
sample449,2.41,161,14,7.05
sample310,2.1932,41,5,1.0
sample452,2.4118,161,14,7.05
sample287,2.1923,41,5,1.0
sample149,1.99,41,3,1.0
sample3 ,1.8962,41,1,1.0
sample126,1.9681,41,5,1.0
sample18,2.2782,41,14,1.0
sample436,2.3651,141,12,6.05
sample434,2.3707,145,12,6.25
sample112,1.965,41,2,1.0
sample17,2.2711,41,13,1.0
sample164,1.9203,41,3,1.0
sample294,2.1893,41,5,1.0
sample471,2.4286,161,14,7.05
sample357,2.2474,81,7,2.8
sample158,2.0539,41,3,1.0
sample191,1.9204,41,3,1.0
sample284,2.198,41,5,1.0
sample127,1.9444,41,5,1.0
sample333,2.2418,81,6,2.8
sample241,2.2004,41,5,1.0
sample466,2.4323,161,14,7.05
sample297,2.195,41,5,1.0
sample142,2.0539,41,3,1.0
sample534,2.6503,235,20,10.75
sample376,2.2757,89,8,3.45
sample276,2.1896,41,5,1.0
sample226,2.1942,41,5,1.0
sample228,2.1902,41,5,1.0
sample206,2.1679,41,4,1.0
sample167,2.0831,41,3,1.0
sample229,2.2012,41,5,1.0
sample501,2.443,175,16,7.75
sample433,2.372,147,12,6.35
sample262,2.1947,41,5,1.0
sample155,1.9202,41,3,1.0
sample128,1.9212,41,5,1.0
sample361,2.3156,119,8,4.95
sample369,2.2973,103,8,4.15
sample39,2.6367,221,20,10.05
sample337,2.2409,81,6,2.8
sample380,2.3329,121,10,5.05
sample247,2.2001,41,5,1.0
sample525,2.5871,201,19,9.05
sample116,1.9286,41,2,1.0
sample84,1.9472,41,2,1.0
sample60,2.4924,169,40,1.485294118
sample503,2.4356,171,16,7.55
sample372,2.2877,97,8,3.85
sample257,2.1932,41,5,1.0
sample131,2.0541,41,5,1.0
sample475,2.4264,161,14,7.05
sample447,2.4093,161,14,7.05
sample90,1.9648,41,2,1.0
sample456,2.4159,161,14,7.05
sample514,2.5574,201,18,9.05
sample540,2.6291,213,20,10.15
sample544,2.6209,205,20,9.75
sample470,2.4302,161,14,7.05
sample79,2.2908,101,13,1.525
sample137,1.9213,41,5,1.0
sample33,2.4336,161,14,7.05
sample42,2.2329,71,8,1.366666667
sample328,2.2445,81,6,2.8
sample221,2.1924,41,5,1.0
sample58,2.6472,241,84,1.41
sample183,2.0122,41,3,1.0
sample27,2.3168,121,8,5.05
sample416,2.3335,121,10,5.05
sample305,2.1906,41,5,1.0
sample220,2.1941,41,5,1.0
sample104,1.9385,41,2,1.0
sample476,2.4266,161,14,7.05
sample472,2.4287,161,14,7.05
sample282,2.1906,41,5,1.0
sample81,1.9901,41,2,1.0
sample54,2.3364,111,15,1.22
sample450,2.4106,161,14,7.05
sample30,2.3541,121,11,5.05
sample423,2.3485,121,11,5.05
sample8,2.229,81,4,3.05
sample331,2.2427,81,6,2.8
sample209,2.1793,41,4,1.0
sample205,2.1645,41,4,1.0
sample122,2.0535,41,5,1.0
sample261,2.1965,41,5,1.0
sample320,2.1965,41,5,1.0
sample321,2.195,41,5,1.0
sample316,2.1925,41,5,1.0
sample325,2.2456,81,6,2.8
sample398,2.3454,121,10,5.05
sample12,2.229,41,8,1.0
sample94,1.9815,41,2,1.0
sample232,2.1942,41,5,1.0
sample195,2.1563,41,4,1.0
sample354,2.2491,81,7,2.8
sample181,2.0324,41,3,1.0
sample71,2.3299,113,9,1.173076923
sample543,2.6228,207,20,9.85
sample394,2.3426,121,10,5.05
sample539,2.631,215,20,10.25
sample87,1.9179,41,2,1.0
sample457,2.4166,161,14,7.05
sample255,2.1968,41,5,1.0
sample182,2.0117,41,3,1.0
sample384,2.3357,121,10,5.05
sample448,2.4091,161,14,7.05
sample414,2.3339,121,10,5.05
sample346,2.2533,81,7,2.8
sample388,2.3387,121,10,5.05
sample324,2.191,41,5,1.0
sample28,2.333,121,9,5.05
sample56,2.6366,221,121,1.7625
sample363,2.312,115,8,4.75
sample143,2.0537,41,3,1.0
sample101,1.907,41,2,1.0
sample421,2.3496,121,11,5.05
sample169,2.0515,41,3,1.0
sample458,2.4176,161,14,7.05
sample485,2.4399,161,15,7.05
sample144,2.033,41,3,1.0
sample153,1.9441,41,3,1.0
sample494,2.4621,189,16,8.45
sample160,2.0118,41,3,1.0
sample271,2.2005,41,5,1.0
sample197,2.1523,41,4,1.0
sample302,2.1972,41,5,1.0
sample279,2.1963,41,5,1.0
sample311,2.1917,41,5,1.0
sample162,1.9677,41,3,1.0
sample484,2.4434,161,15,7.05
sample545,2.6191,203,20,9.65
sample422,2.3493,121,11,5.05
sample231,2.1973,41,5,1.0
sample280,2.1941,41,5,1.0
sample250,2.1943,41,5,1.0
sample244,2.1943,41,5,1.0
sample269,2.1918,41,5,1.0
sample254,2.1981,41,5,1.0
sample119,2.1125,41,3,1.0
sample446,2.408,161,14,7.05
sample348,2.2514,81,7,2.8
sample103,1.9287,41,2,1.0
sample124,2.0934,41,5,1.0
sample419,2.3513,121,11,5.05
sample317,2.1911,41,5,1.0
sample138,2.0931,41,3,1.0
sample49,2.2839,91,11,2.033333333
sample506,2.4235,165,16,7.25
sample315,2.195,41,5,1.0
sample211,2.1872,41,4,1.0
sample97,1.9379,41,2,1.0
sample272,2.1977,41,5,1.0
sample15,2.2541,41,11,1.0
sample139,2.0933,41,3,1.0
sample117,1.9184,41,2,1.0
sample375,2.2783,91,8,3.55
